participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
3038ZL,0,0,21,120,64,2,2,1,4,2,3,3,2,2,3,1,5,3,3,4,6,5,2
3040ZL,0,0,20,115.6,62.5,4,4,1,1,2,4,2,4,5,3,1,3,3,4,3,5,3,2
3043ZL,0,0,25,160,68,3,2,1,1,5,5,4,3,3,3,1,5,5,4,5,6,5,4
3044ZL,1,0,26,195,75,6,2,1,6,3,5,3,4,5,5,2,4,1,3,4,2,3,5
3047ZL,0,0,23,115,62,1,2,1,1,4,4,4,5,5,5,1,5,2,3,3,6,4,2
3050ZL,0,0,20,129,62,4,3,1,1,2,5,5,4,5,5,1,6,2,3,4,6,5,2
3051ZL,0,0,27,275,71,1,1,4,1,2,1,3,2,5,4,1,4,3,3,4,6,5,4
3052ZL,1,0,29,205,73,2,2,1,5,2,3,3,4,2,5,1,6,4,3,5,3,3,4
3059ZL,1,0,21,140,69,1,2,1,1,2,1,1,2,6,2,1,4,6,3,3,6,3,3
3060ZL,1,0,20,200,72,2,2,1,1,2,3,3,2,5,2,1,4,2,3,5,2,3,5
3066ZL,0,0,31,115,60,6,1,1,6,3,2,1,2,5,6,1,5,5,3,4,7,4,2
3068ZL,0,1,19,150,69,4,1,1,1,2,5,5,4,4,4,1,3,4,3,4,4,3,4
3074ZL,1,0,21,160,70,4,5,1,2,2,1,3,1,6,4,1,2,5,3,6,7,5,3
3079ZL,0,0,20,145,64,5,4,1,1,2,3,3,3,4,3,1,2,3,2,6,4,4,2
3083ZL,0,0,18,200,64,2,2,1,1,1,2,2,3,6,5,1,5,4,3,4,4,3,4
3085ZL,0,0,20,155,62,2,4,1,1,2,5,3,2,4,2,1,1,3,3,2,5,5,2
3087ZL,0,0,20,115,62,1,2,1,3,2,2,1,1,6,3,1,2,1,3,4,6,5,2
3090ZL,0,0,19,125,63,6,2,1,1,2,3,3,5,6,6,1,4,2,2,4,2,2,4
3091ZL,1,0,19,170,74,1,5,1,1,2,3,3,2,5,5,1,6,4,3,5,7,5,2
3094ZL,0,0,18,130,73,2,2,1,1,1,5,3,2,2,3,1,4,6,3,3,6,3,3
3095ZL,1,0,21,160,73,5,3,1,5,2,5,3,5,6,6,1,6,2,3,4,6,5,3
3098ZL,0,0,29,140,62,1,2,1,6,3,3,3,2,4,2,2,1,6,4,5,6,4,4
3104ZL,0,0,18,105,63,5,3,1,3,2,5,5,3,3,3,1,5,3,3,5,3,3,5
3105ZL,0,0,21,120,64,2,3,1,3,2,4,5,2,2,2,2,4,5,4,4,6,5,2
3106ZL,1,0,19,200,71,2,3,1,1,2,3,1,2,4,2,1,3,4,3,2,6,5,2
3107ZL,0,0,18,140,71,1,2,1,1,2,5,5,2,2,3,1,6,6,3,3,3,3,4
3108ZL,0,0,18,117,62,4,2,1,1,1,3,3,3,5,6,1,5,3,4,4,5,5,3
